processing and loading "train" epoch 401 into memory, current num of imgs is 0..                                                                                                                                                             .
DBG: /home/pi/Documents/picar/epochs/out-video-401.avi
DBG: 400
DBG: /home/pi/Documents/picar/epochs/out-key-401.csv
400 400
processing and loading "val" epoch 401 into memory, current num of imgs is 0...
DBG: /home/pi/Documents/picar/epochs/out-video-401.avi
DBG: 400
DBG: /home/pi/Documents/picar/epochs/out-key-401.csv
400 400
---< train >---
# center imgs: 320
# curve imgs: 80
---< val >---
# center imgs: 320
# curve imgs: 80
step 10 of 2000, train loss 0.0756163746119, val loss 0.0757551938295
step 740 of 2000, train loss 0.00324768852443, val loss 0.00523840077221
step 750 of 2000, train loss 0.00264910096303, val loss 0.00519005674869
step 760 of 2000, train loss 0.00380426249467, val loss 0.00401412090287
step 770 of 2000, train loss 0.00258574774489, val loss 0.00327940098941
step 780 of 2000, train loss 0.00217008241452, val loss 0.00110915885307
step 790 of 2000, train loss 0.00338763394393, val loss 0.00427024951205
step 800 of 2000, train loss 0.00157781084999, val loss 0.00154913321603
Model saved. Time passed: 01 hours 41 mins 22 secs 000 msecs. Time left: 02 hours 32 mins 23 secs 000 msecs
step 810 of 2000, train loss 0.00557366060093, val loss 0.00328065548092
step 820 of 2000, train loss 0.00294981827028, val loss 0.00338275963441
step 830 of 2000, train loss 0.00277345930226, val loss 0.00468773581088
step 840 of 2000, train loss 0.00232347194105, val loss 0.00273856753483
step 850 of 2000, train loss 0.00165966211352, val loss 0.00182253797539
step 860 of 2000, train loss 0.00329042854719, val loss 0.00216076499783
step 870 of 2000, train loss 0.00114402989857, val loss 0.000921596831176
step 880 of 2000, train loss 0.00110757304356, val loss 0.00219954736531
step 890 of 2000, train loss 0.00145100418013, val loss 0.00197852659039
step 900 of 2000, train loss 0.00122564134654, val loss 0.00120280846022
Model saved. Time passed: 01 hours 54 mins 15 secs 000 msecs. Time left: 02 hours 19 mins 56 secs 000 msecs
step 910 of 2000, train loss 0.00121273787227, val loss 0.00209071417339
step 920 of 2000, train loss 0.00166301731952, val loss 0.00400834344327
step 930 of 2000, train loss 0.000936497293878, val loss 0.00112134695519
step 940 of 2000, train loss 0.0043554501608, val loss 0.00300881708972
step 950 of 2000, train loss 0.00123881502077, val loss 0.00223026284948
step 960 of 2000, train loss 0.00117199833039, val loss 0.00230814958923
step 970 of 2000, train loss 0.00156923814211, val loss 0.0015395215014
step 980 of 2000, train loss 0.000690779415891, val loss 0.00140341173392
step 990 of 2000, train loss 0.00209232373163, val loss 0.00200916896574
step 1000 of 2000, train loss 0.0011277156882, val loss 0.00128252757713
Model saved. Time passed: 02 hours 07 mins 08 secs 000 msecs. Time left: 02 hours 07 mins 23 secs 000 msecs
step 1010 of 2000, train loss 0.00244571035728, val loss 0.00328712840565
step 1020 of 2000, train loss 0.00198576669209, val loss 0.0016368314391
step 1030 of 2000, train loss 0.000756665074732, val loss 0.00237573077902
step 1040 of 2000, train loss 0.00111021788325, val loss 0.00232340907678
step 1050 of 2000, train loss 0.000832214427646, val loss 0.000819691864308
step 1060 of 2000, train loss 0.00156580272596, val loss 0.00146973074879
step 1070 of 2000, train loss 0.00182115088683, val loss 0.00109327933751
step 1080 of 2000, train loss 0.00156692683231, val loss 0.00109648122452
step 1090 of 2000, train loss 0.00134007900488, val loss 0.00200650002807
step 1100 of 2000, train loss 0.000991357374005, val loss 0.00131457508542
Model saved. Time passed: 02 hours 19 mins 57 secs 000 msecs. Time left: 01 hours 54 mins 44 secs 000 msecs
step 1110 of 2000, train loss 0.00102878909092, val loss 0.00140160811134
step 1120 of 2000, train loss 0.00304979062639, val loss 0.000953138573095
step 1130 of 2000, train loss 0.00093518657377, val loss 0.000617536483333
step 1140 of 2000, train loss 0.0011529373005, val loss 0.00103283836506
step 1150 of 2000, train loss 0.000758614973165, val loss 0.00090655835811
step 1160 of 2000, train loss 0.000712264387403, val loss 0.00106054882053
step 1170 of 2000, train loss 0.000684417784214, val loss 0.00233603641391
step 1180 of 2000, train loss 0.000968808541074, val loss 0.00262531079352
step 1190 of 2000, train loss 0.00100757996552, val loss 0.00166617217474
step 1200 of 2000, train loss 0.00243922532536, val loss 0.00243626977317
Model saved. Time passed: 02 hours 32 mins 50 secs 000 msecs. Time left: 01 hours 42 mins 06 secs 000 msecs
step 1210 of 2000, train loss 0.00107602088246, val loss 0.00101917714346
step 1220 of 2000, train loss 0.000943990366068, val loss 0.00125153595582
step 1230 of 2000, train loss 0.000528302509338, val loss 0.00065866560908
step 1240 of 2000, train loss 0.000657685857732, val loss 0.00107136566658
step 1250 of 2000, train loss 0.00101504405029, val loss 0.00325882877223
step 1260 of 2000, train loss 0.00132293347269, val loss 0.00085295655299
step 1270 of 2000, train loss 0.000664505932946, val loss 0.000810338417068
step 1280 of 2000, train loss 0.000622363528237, val loss 0.00136122154072
step 1290 of 2000, train loss 0.00181688962039, val loss 0.00158708496019
step 1300 of 2000, train loss 0.000711439235602, val loss 0.00102159532253
Model saved. Time passed: 02 hours 45 mins 38 secs 000 msecs. Time left: 01 hours 29 mins 23 secs 000 msecs
step 1310 of 2000, train loss 0.00069754809374, val loss 0.0010129584698
step 1320 of 2000, train loss 0.00132785632741, val loss 0.000397097493988
step 1330 of 2000, train loss 0.000902922998648, val loss 0.000515205378179
step 1340 of 2000, train loss 0.000584435882047, val loss 0.00135656085331
step 1350 of 2000, train loss 0.00133973185439, val loss 0.000726709666196
step 1360 of 2000, train loss 0.00258249323815, val loss 0.000712205597665
step 1370 of 2000, train loss 0.000763538933825, val loss 0.00109926203731
step 1380 of 2000, train loss 0.000832482997794, val loss 0.000750670209527
step 1390 of 2000, train loss 0.000522738322616, val loss 0.000564097834285
step 1400 of 2000, train loss 0.000886799069121, val loss 0.000671661633532
Model saved. Time passed: 02 hours 58 mins 25 secs 000 msecs. Time left: 01 hours 16 mins 39 secs 000 msecs
step 1410 of 2000, train loss 0.000800473149866, val loss 0.00082114932593
step 1420 of 2000, train loss 0.000851802527905, val loss 0.000972880283371
step 1430 of 2000, train loss 0.000533427868504, val loss 0.000561014923733
step 1440 of 2000, train loss 0.000550371245481, val loss 0.0029605012387
step 1450 of 2000, train loss 0.000579737941734, val loss 0.000584357068874
step 1460 of 2000, train loss 0.000595287943725, val loss 0.00127624417655
step 1470 of 2000, train loss 0.000616354111116, val loss 0.00049379596021
step 1480 of 2000, train loss 0.000597792270128, val loss 0.000558586267289
step 1490 of 2000, train loss 0.00120954122394, val loss 0.000639675883576
step 1500 of 2000, train loss 0.000540644745342, val loss 0.000612062867731
Model saved. Time passed: 03 hours 11 mins 12 secs 000 msecs. Time left: 01 hours 03 mins 54 secs 000 msecs
step 1510 of 2000, train loss 0.000574597506784, val loss 0.000503069139086
step 1520 of 2000, train loss 0.000287783914246, val loss 0.000835545943119
step 1530 of 2000, train loss 0.000659921905026, val loss 0.000839915592223
step 1540 of 2000, train loss 0.000798992230557, val loss 0.000876964186318
step 1550 of 2000, train loss 0.000576811900828, val loss 0.00094995618565
step 1560 of 2000, train loss 0.000516284955665, val loss 0.000575233716518
step 1570 of 2000, train loss 0.000633823743556, val loss 0.000572439166717
step 1580 of 2000, train loss 0.000508882978465, val loss 0.000551688019186
step 1590 of 2000, train loss 0.000507647928316, val loss 0.000578143168241
step 1600 of 2000, train loss 0.00050838442985, val loss 0.000374273920897
Model saved. Time passed: 03 hours 23 mins 50 secs 000 msecs. Time left: 00 hours 51 mins 07 secs 000 msecs
step 1610 of 2000, train loss 0.000381573510822, val loss 0.000390712433727
step 1620 of 2000, train loss 0.000475852488307, val loss 0.000656271004118
step 1630 of 2000, train loss 0.00166717229877, val loss 0.000439059251221
step 1640 of 2000, train loss 0.000658431730699, val loss 0.000747707905248
step 1650 of 2000, train loss 0.000481478287838, val loss 0.00292064389214
step 1660 of 2000, train loss 0.00209493911825, val loss 0.000447679747595
step 1670 of 2000, train loss 0.000598713755608, val loss 0.000585310219321
step 1680 of 2000, train loss 0.000532985082828, val loss 0.000651299371384
step 1690 of 2000, train loss 0.000422780984081, val loss 0.000336431461619
step 1700 of 2000, train loss 0.000647914828733, val loss 0.000599770224653
Model saved. Time passed: 03 hours 36 mins 29 secs 000 msecs. Time left: 00 hours 38 mins 21 secs 000 msecs
step 1710 of 2000, train loss 0.000459466624307, val loss 0.000393084803363
step 1720 of 2000, train loss 0.000417566741817, val loss 0.000416740949731
step 1730 of 2000, train loss 0.000381646939786, val loss 0.000569297582842
step 1740 of 2000, train loss 0.000391699402826, val loss 0.000564761809073
step 1750 of 2000, train loss 0.000262995163212, val loss 0.00106900325045
step 1760 of 2000, train loss 0.000724909128621, val loss 0.000908873975277
step 1770 of 2000, train loss 0.000720109499525, val loss 0.00038717238931
step 1780 of 2000, train loss 0.000450305087725, val loss 0.000476501591038
step 1790 of 2000, train loss 0.000467252510134, val loss 0.000439303083112
step 1800 of 2000, train loss 0.000549138349015, val loss 0.000530581222847
Model saved. Time passed: 03 hours 49 mins 07 secs 000 msecs. Time left: 00 hours 25 mins 36 secs 000 msecs
step 1810 of 2000, train loss 0.000666092382744, val loss 0.000626007909887
step 1820 of 2000, train loss 0.000556610699277, val loss 0.000584341119975
step 1830 of 2000, train loss 0.000770392478444, val loss 0.000727981794626
step 1840 of 2000, train loss 0.000431689608376, val loss 0.000346534856362
step 1850 of 2000, train loss 0.000376826646971, val loss 0.000440929783508
step 1860 of 2000, train loss 0.000343981635524, val loss 0.000409050961025
step 1870 of 2000, train loss 0.000608486589044, val loss 0.000624538573902
step 1880 of 2000, train loss 0.000462305964902, val loss 0.000424958328949
step 1890 of 2000, train loss 0.000422441517003, val loss 0.00049360684352
step 1900 of 2000, train loss 0.00224380311556, val loss 0.00220496812835
Model saved. Time passed: 04 hours 01 mins 51 secs 000 msecs. Time left: 00 hours 12 mins 52 secs 000 msecs
step 1910 of 2000, train loss 0.000480918592075, val loss 0.000551213044673
step 1920 of 2000, train loss 0.000560692162253, val loss 0.000537455896847
step 1930 of 2000, train loss 0.000422307173721, val loss 0.000401963072363
step 1940 of 2000, train loss 0.000461442745291, val loss 0.000464176235255
step 1950 of 2000, train loss 0.000388391606975, val loss 0.000506376905832
step 1960 of 2000, train loss 0.000817004649434, val loss 0.000566722126678
step 1970 of 2000, train loss 0.000535431783646, val loss 0.000488031306304
step 1980 of 2000, train loss 0.000311820273055, val loss 0.000700492935721
step 1990 of 2000, train loss 0.00072931451723, val loss 0.000712316541467
step 2000 of 2000, train loss 0.000729850085918, val loss 0.000804589537438
Model saved. Time passed: 04 hours 14 mins 51 secs 000 msecs. Time left: 00 hours 00 mins 08 secs 000 msecs
